Timer started ...
MOD: delay(1250 1250), type(tTMRCO20), from(I1.OSCOUT), to(I1.TIMEROUT)
CHK: delay(0 0), type(tWLA), from(LED10.C ), to(LED10.C )
CHK: delay(0 0), type(tWHA), from(LED10.C ), to(LED10.C )
CHK: delay(200 200), type(tH), from(LED10.D.X2 ), to(LED10.C )
CHK: delay(200 200), type(tS_PT), from(LED10.D.X2 ), to(LED10.C )
CHK: delay(200 200), type(tH), from(LED10.D.X1 ), to(LED10.C )
CHK: delay(200 200), type(tS_PT), from(LED10.D.X1 ), to(LED10.C )
MOD: delay(95 95), type(tSRi), from(LED11.AP ), to(LED11.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED11.Q ), to(LED11.PAD)
MOD: delay(45 45), type(tCOi), from(LED11.C ), to(LED11.Q )
CHK: delay(0 0), type(tSRW), from(LED11.AP ), to(LED11.AP )
CHK: delay(180 180), type(tSRR), from(LED11.AP ), to(LED11.C )
CHK: delay(0 0), type(tWLA), from(LED11.C ), to(LED11.C )
CHK: delay(0 0), type(tWHA), from(LED11.C ), to(LED11.C )
CHK: delay(200 200), type(tH), from(LED11.D.X2 ), to(LED11.C )
CHK: delay(200 200), type(tS_PT), from(LED11.D.X2 ), to(LED11.C )
CHK: delay(200 200), type(tH), from(LED11.D.X1 ), to(LED11.C )
CHK: delay(200 200), type(tS_PT), from(LED11.D.X1 ), to(LED11.C )
MOD: delay(95 95), type(tSRi), from(LED12.AP ), to(LED12.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED12.Q ), to(LED12.PAD)
MOD: delay(45 45), type(tCOi), from(LED12.C ), to(LED12.Q )
CHK: delay(0 0), type(tSRW), from(LED12.AP ), to(LED12.AP )
CHK: delay(180 180), type(tSRR), from(LED12.AP ), to(LED12.C )
CHK: delay(0 0), type(tWLA), from(LED12.C ), to(LED12.C )
CHK: delay(0 0), type(tWHA), from(LED12.C ), to(LED12.C )
CHK: delay(200 200), type(tH), from(LED12.D.X2 ), to(LED12.C )
CHK: delay(200 200), type(tS_PT), from(LED12.D.X2 ), to(LED12.C )
CHK: delay(200 200), type(tH), from(LED12.D.X1 ), to(LED12.C )
CHK: delay(200 200), type(tS_PT), from(LED12.D.X1 ), to(LED12.C )
MOD: delay(95 95), type(tSRi), from(LED13.AP ), to(LED13.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED13.Q ), to(LED13.PAD)
MOD: delay(45 45), type(tCOi), from(LED13.C ), to(LED13.Q )
CHK: delay(0 0), type(tSRW), from(LED13.AP ), to(LED13.AP )
CHK: delay(180 180), type(tSRR), from(LED13.AP ), to(LED13.C )
CHK: delay(0 0), type(tWLA), from(LED13.C ), to(LED13.C )
CHK: delay(0 0), type(tWHA), from(LED13.C ), to(LED13.C )
CHK: delay(200 200), type(tH), from(LED13.D.X2 ), to(LED13.C )
CHK: delay(200 200), type(tS_PT), from(LED13.D.X2 ), to(LED13.C )
CHK: delay(200 200), type(tH), from(LED13.D.X1 ), to(LED13.C )
CHK: delay(200 200), type(tS_PT), from(LED13.D.X1 ), to(LED13.C )
MOD: delay(95 95), type(tSRi), from(LED14.AP ), to(LED14.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED14.Q ), to(LED14.PAD)
MOD: delay(45 45), type(tCOi), from(LED14.C ), to(LED14.Q )
CHK: delay(0 0), type(tSRW), from(LED14.AP ), to(LED14.AP )
CHK: delay(180 180), type(tSRR), from(LED14.AP ), to(LED14.C )
CHK: delay(0 0), type(tWLA), from(LED14.C ), to(LED14.C )
CHK: delay(0 0), type(tWHA), from(LED14.C ), to(LED14.C )
CHK: delay(200 200), type(tH), from(LED14.D.X2 ), to(LED14.C )
CHK: delay(200 200), type(tS_PT), from(LED14.D.X2 ), to(LED14.C )
CHK: delay(200 200), type(tH), from(LED14.D.X1 ), to(LED14.C )
CHK: delay(200 200), type(tS_PT), from(LED14.D.X1 ), to(LED14.C )
MOD: delay(95 95), type(tSRi), from(LED15.AP ), to(LED15.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED15.Q ), to(LED15.PAD)
MOD: delay(45 45), type(tCOi), from(LED15.C ), to(LED15.Q )
CHK: delay(0 0), type(tSRW), from(LED15.AP ), to(LED15.AP )
CHK: delay(180 180), type(tSRR), from(LED15.AP ), to(LED15.C )
CHK: delay(0 0), type(tWLA), from(LED15.C ), to(LED15.C )
CHK: delay(0 0), type(tWHA), from(LED15.C ), to(LED15.C )
CHK: delay(200 200), type(tH), from(LED15.D.X2 ), to(LED15.C )
CHK: delay(200 200), type(tS_PT), from(LED15.D.X2 ), to(LED15.C )
CHK: delay(200 200), type(tH), from(LED15.D.X1 ), to(LED15.C )
CHK: delay(200 200), type(tS_PT), from(LED15.D.X1 ), to(LED15.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS1a.OUT), to(DIS1a.PAD)
MOD: delay(45 45), type(tPDi), from(DIS1a ), to(DIS1a.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS1b.OUT), to(DIS1b.PAD)
MOD: delay(45 45), type(tPDi), from(DIS1b ), to(DIS1b.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS1c.OUT), to(DIS1c.PAD)
MOD: delay(45 45), type(tPDi), from(DIS1c ), to(DIS1c.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS1d.OUT), to(DIS1d.PAD)
MOD: delay(45 45), type(tPDi), from(DIS1d ), to(DIS1d.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS1e.OUT), to(DIS1e.PAD)
MOD: delay(45 45), type(tPDi), from(DIS1e ), to(DIS1e.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS1f.OUT), to(DIS1f.PAD)
MOD: delay(45 45), type(tPDi), from(DIS1f ), to(DIS1f.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS1g.OUT), to(DIS1g.PAD)
MOD: delay(45 45), type(tPDi), from(DIS1g ), to(DIS1g.OUT)
MOD: delay(95 95), type(tSRi), from(DIS2a.AP ), to(DIS2a.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS2a.OUT), to(DIS2a.PAD)
MOD: delay(45 45), type(tCOi), from(DIS2a.C ), to(DIS2a.OUT)
CHK: delay(0 0), type(tSRW), from(DIS2a.AP ), to(DIS2a.AP )
CHK: delay(180 180), type(tSRR), from(DIS2a.AP ), to(DIS2a.C )
CHK: delay(0 0), type(tWLA), from(DIS2a.C ), to(DIS2a.C )
CHK: delay(0 0), type(tWHA), from(DIS2a.C ), to(DIS2a.C )
CHK: delay(200 200), type(tH), from(DIS2a.D ), to(DIS2a.C )
CHK: delay(200 200), type(tS_PT), from(DIS2a.D ), to(DIS2a.C )
MOD: delay(95 95), type(tSRi), from(DIS2b.AP ), to(DIS2b.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS2b.OUT), to(DIS2b.PAD)
MOD: delay(45 45), type(tCOi), from(DIS2b.C ), to(DIS2b.OUT)
CHK: delay(0 0), type(tSRW), from(DIS2b.AP ), to(DIS2b.AP )
CHK: delay(180 180), type(tSRR), from(DIS2b.AP ), to(DIS2b.C )
CHK: delay(0 0), type(tWLA), from(DIS2b.C ), to(DIS2b.C )
CHK: delay(0 0), type(tWHA), from(DIS2b.C ), to(DIS2b.C )
CHK: delay(200 200), type(tH), from(DIS2b.D ), to(DIS2b.C )
CHK: delay(200 200), type(tS_PT), from(DIS2b.D ), to(DIS2b.C )
MOD: delay(95 95), type(tSRi), from(DIS2c.AP ), to(DIS2c.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS2c.OUT), to(DIS2c.PAD)
MOD: delay(45 45), type(tCOi), from(DIS2c.C ), to(DIS2c.OUT)
CHK: delay(0 0), type(tSRW), from(DIS2c.AP ), to(DIS2c.AP )
CHK: delay(180 180), type(tSRR), from(DIS2c.AP ), to(DIS2c.C )
CHK: delay(0 0), type(tWLA), from(DIS2c.C ), to(DIS2c.C )
CHK: delay(0 0), type(tWHA), from(DIS2c.C ), to(DIS2c.C )
CHK: delay(200 200), type(tH), from(DIS2c.D ), to(DIS2c.C )
CHK: delay(200 200), type(tS_PT), from(DIS2c.D ), to(DIS2c.C )
MOD: delay(95 95), type(tSRi), from(DIS2d.AP ), to(DIS2d.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS2d.OUT), to(DIS2d.PAD)
MOD: delay(45 45), type(tCOi), from(DIS2d.C ), to(DIS2d.OUT)
CHK: delay(0 0), type(tSRW), from(DIS2d.AP ), to(DIS2d.AP )
CHK: delay(180 180), type(tSRR), from(DIS2d.AP ), to(DIS2d.C )
CHK: delay(0 0), type(tWLA), from(DIS2d.C ), to(DIS2d.C )
CHK: delay(0 0), type(tWHA), from(DIS2d.C ), to(DIS2d.C )
CHK: delay(200 200), type(tH), from(DIS2d.D ), to(DIS2d.C )
CHK: delay(200 200), type(tS_PT), from(DIS2d.D ), to(DIS2d.C )
MOD: delay(95 95), type(tSRi), from(DIS2e.AP ), to(DIS2e.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS2e.OUT), to(DIS2e.PAD)
MOD: delay(45 45), type(tCOi), from(DIS2e.C ), to(DIS2e.OUT)
CHK: delay(0 0), type(tSRW), from(DIS2e.AP ), to(DIS2e.AP )
CHK: delay(180 180), type(tSRR), from(DIS2e.AP ), to(DIS2e.C )
CHK: delay(0 0), type(tWLA), from(DIS2e.C ), to(DIS2e.C )
CHK: delay(0 0), type(tWHA), from(DIS2e.C ), to(DIS2e.C )
CHK: delay(200 200), type(tH), from(DIS2e.D ), to(DIS2e.C )
CHK: delay(200 200), type(tS_PT), from(DIS2e.D ), to(DIS2e.C )
MOD: delay(95 95), type(tSRi), from(DIS2f.AP ), to(DIS2f.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS2f.OUT), to(DIS2f.PAD)
MOD: delay(45 45), type(tCOi), from(DIS2f.C ), to(DIS2f.OUT)
CHK: delay(0 0), type(tSRW), from(DIS2f.AP ), to(DIS2f.AP )
CHK: delay(180 180), type(tSRR), from(DIS2f.AP ), to(DIS2f.C )
CHK: delay(0 0), type(tWLA), from(DIS2f.C ), to(DIS2f.C )
CHK: delay(0 0), type(tWHA), from(DIS2f.C ), to(DIS2f.C )
CHK: delay(200 200), type(tH), from(DIS2f.D ), to(DIS2f.C )
CHK: delay(200 200), type(tS_PT), from(DIS2f.D ), to(DIS2f.C )
MOD: delay(95 95), type(tSRi), from(DIS2g.AP ), to(DIS2g.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS2g.OUT), to(DIS2g.PAD)
MOD: delay(45 45), type(tCOi), from(DIS2g.C ), to(DIS2g.OUT)
CHK: delay(0 0), type(tSRW), from(DIS2g.AP ), to(DIS2g.AP )
CHK: delay(180 180), type(tSRR), from(DIS2g.AP ), to(DIS2g.C )
CHK: delay(0 0), type(tWLA), from(DIS2g.C ), to(DIS2g.C )
CHK: delay(0 0), type(tWHA), from(DIS2g.C ), to(DIS2g.C )
CHK: delay(200 200), type(tH), from(DIS2g.D ), to(DIS2g.C )
CHK: delay(200 200), type(tS_PT), from(DIS2g.D ), to(DIS2g.C )
MOD: delay(95 95), type(tSRi), from(DIS3a.AP ), to(DIS3a.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS3a.OUT), to(DIS3a.PAD)
MOD: delay(45 45), type(tCOi), from(DIS3a.C ), to(DIS3a.OUT)
CHK: delay(0 0), type(tSRW), from(DIS3a.AP ), to(DIS3a.AP )
CHK: delay(180 180), type(tSRR), from(DIS3a.AP ), to(DIS3a.C )
CHK: delay(0 0), type(tWLA), from(DIS3a.C ), to(DIS3a.C )
CHK: delay(0 0), type(tWHA), from(DIS3a.C ), to(DIS3a.C )
CHK: delay(200 200), type(tH), from(DIS3a.D ), to(DIS3a.C )
CHK: delay(200 200), type(tS_PT), from(DIS3a.D ), to(DIS3a.C )
MOD: delay(95 95), type(tSRi), from(DIS3b.AP ), to(DIS3b.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS3b.OUT), to(DIS3b.PAD)
MOD: delay(45 45), type(tCOi), from(DIS3b.C ), to(DIS3b.OUT)
CHK: delay(0 0), type(tSRW), from(DIS3b.AP ), to(DIS3b.AP )
CHK: delay(180 180), type(tSRR), from(DIS3b.AP ), to(DIS3b.C )
CHK: delay(0 0), type(tWLA), from(DIS3b.C ), to(DIS3b.C )
CHK: delay(0 0), type(tWHA), from(DIS3b.C ), to(DIS3b.C )
CHK: delay(200 200), type(tH), from(DIS3b.D ), to(DIS3b.C )
CHK: delay(200 200), type(tS_PT), from(DIS3b.D ), to(DIS3b.C )
MOD: delay(95 95), type(tSRi), from(DIS3c.AP ), to(DIS3c.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS3c.OUT), to(DIS3c.PAD)
MOD: delay(45 45), type(tCOi), from(DIS3c.C ), to(DIS3c.OUT)
CHK: delay(0 0), type(tSRW), from(DIS3c.AP ), to(DIS3c.AP )
CHK: delay(180 180), type(tSRR), from(DIS3c.AP ), to(DIS3c.C )
CHK: delay(0 0), type(tWLA), from(DIS3c.C ), to(DIS3c.C )
CHK: delay(0 0), type(tWHA), from(DIS3c.C ), to(DIS3c.C )
CHK: delay(200 200), type(tH), from(DIS3c.D ), to(DIS3c.C )
CHK: delay(200 200), type(tS_PT), from(DIS3c.D ), to(DIS3c.C )
MOD: delay(95 95), type(tSRi), from(DIS3d.AP ), to(DIS3d.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS3d.OUT), to(DIS3d.PAD)
MOD: delay(45 45), type(tCOi), from(DIS3d.C ), to(DIS3d.OUT)
CHK: delay(0 0), type(tSRW), from(DIS3d.AP ), to(DIS3d.AP )
CHK: delay(180 180), type(tSRR), from(DIS3d.AP ), to(DIS3d.C )
CHK: delay(0 0), type(tWLA), from(DIS3d.C ), to(DIS3d.C )
CHK: delay(0 0), type(tWHA), from(DIS3d.C ), to(DIS3d.C )
CHK: delay(200 200), type(tH), from(DIS3d.D ), to(DIS3d.C )
CHK: delay(200 200), type(tS_PT), from(DIS3d.D ), to(DIS3d.C )
MOD: delay(95 95), type(tSRi), from(DIS3e.AP ), to(DIS3e.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS3e.OUT), to(DIS3e.PAD)
MOD: delay(45 45), type(tCOi), from(DIS3e.C ), to(DIS3e.OUT)
CHK: delay(0 0), type(tSRW), from(DIS3e.AP ), to(DIS3e.AP )
CHK: delay(180 180), type(tSRR), from(DIS3e.AP ), to(DIS3e.C )
CHK: delay(0 0), type(tWLA), from(DIS3e.C ), to(DIS3e.C )
CHK: delay(0 0), type(tWHA), from(DIS3e.C ), to(DIS3e.C )
CHK: delay(200 200), type(tH), from(DIS3e.D ), to(DIS3e.C )
CHK: delay(200 200), type(tS_PT), from(DIS3e.D ), to(DIS3e.C )
MOD: delay(95 95), type(tSRi), from(DIS3f.AP ), to(DIS3f.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS3f.OUT), to(DIS3f.PAD)
MOD: delay(45 45), type(tCOi), from(DIS3f.C ), to(DIS3f.OUT)
CHK: delay(0 0), type(tSRW), from(DIS3f.AP ), to(DIS3f.AP )
CHK: delay(180 180), type(tSRR), from(DIS3f.AP ), to(DIS3f.C )
CHK: delay(0 0), type(tWLA), from(DIS3f.C ), to(DIS3f.C )
CHK: delay(0 0), type(tWHA), from(DIS3f.C ), to(DIS3f.C )
CHK: delay(200 200), type(tH), from(DIS3f.D ), to(DIS3f.C )
CHK: delay(200 200), type(tS_PT), from(DIS3f.D ), to(DIS3f.C )
MOD: delay(95 95), type(tSRi), from(DIS3g.AP ), to(DIS3g.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS3g.OUT), to(DIS3g.PAD)
MOD: delay(45 45), type(tCOi), from(DIS3g.C ), to(DIS3g.OUT)
CHK: delay(0 0), type(tSRW), from(DIS3g.AP ), to(DIS3g.AP )
CHK: delay(180 180), type(tSRR), from(DIS3g.AP ), to(DIS3g.C )
CHK: delay(0 0), type(tWLA), from(DIS3g.C ), to(DIS3g.C )
CHK: delay(0 0), type(tWHA), from(DIS3g.C ), to(DIS3g.C )
CHK: delay(200 200), type(tH), from(DIS3g.D ), to(DIS3g.C )
CHK: delay(200 200), type(tS_PT), from(DIS3g.D ), to(DIS3g.C )
MOD: delay(95 95), type(tSRi), from(DIS4a.AP ), to(DIS4a.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS4a.OUT), to(DIS4a.PAD)
MOD: delay(45 45), type(tCOi), from(DIS4a.C ), to(DIS4a.OUT)
CHK: delay(0 0), type(tSRW), from(DIS4a.AP ), to(DIS4a.AP )
CHK: delay(180 180), type(tSRR), from(DIS4a.AP ), to(DIS4a.C )
CHK: delay(0 0), type(tWLA), from(DIS4a.C ), to(DIS4a.C )
CHK: delay(0 0), type(tWHA), from(DIS4a.C ), to(DIS4a.C )
CHK: delay(200 200), type(tH), from(DIS4a.D ), to(DIS4a.C )
CHK: delay(200 200), type(tS_PT), from(DIS4a.D ), to(DIS4a.C )
MOD: delay(95 95), type(tSRi), from(DIS4b.AP ), to(DIS4b.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS4b.OUT), to(DIS4b.PAD)
MOD: delay(45 45), type(tCOi), from(DIS4b.C ), to(DIS4b.OUT)
CHK: delay(0 0), type(tSRW), from(DIS4b.AP ), to(DIS4b.AP )
CHK: delay(180 180), type(tSRR), from(DIS4b.AP ), to(DIS4b.C )
CHK: delay(0 0), type(tWLA), from(DIS4b.C ), to(DIS4b.C )
CHK: delay(0 0), type(tWHA), from(DIS4b.C ), to(DIS4b.C )
CHK: delay(200 200), type(tH), from(DIS4b.D ), to(DIS4b.C )
CHK: delay(200 200), type(tS_PT), from(DIS4b.D ), to(DIS4b.C )
MOD: delay(95 95), type(tSRi), from(DIS4c.AP ), to(DIS4c.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS4c.OUT), to(DIS4c.PAD)
MOD: delay(45 45), type(tCOi), from(DIS4c.C ), to(DIS4c.OUT)
CHK: delay(0 0), type(tSRW), from(DIS4c.AP ), to(DIS4c.AP )
CHK: delay(180 180), type(tSRR), from(DIS4c.AP ), to(DIS4c.C )
CHK: delay(0 0), type(tWLA), from(DIS4c.C ), to(DIS4c.C )
CHK: delay(0 0), type(tWHA), from(DIS4c.C ), to(DIS4c.C )
CHK: delay(200 200), type(tH), from(DIS4c.D ), to(DIS4c.C )
CHK: delay(200 200), type(tS_PT), from(DIS4c.D ), to(DIS4c.C )
MOD: delay(95 95), type(tSRi), from(DIS4d.AP ), to(DIS4d.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS4d.OUT), to(DIS4d.PAD)
MOD: delay(45 45), type(tCOi), from(DIS4d.C ), to(DIS4d.OUT)
CHK: delay(0 0), type(tSRW), from(DIS4d.AP ), to(DIS4d.AP )
CHK: delay(180 180), type(tSRR), from(DIS4d.AP ), to(DIS4d.C )
CHK: delay(0 0), type(tWLA), from(DIS4d.C ), to(DIS4d.C )
CHK: delay(0 0), type(tWHA), from(DIS4d.C ), to(DIS4d.C )
CHK: delay(200 200), type(tH), from(DIS4d.D ), to(DIS4d.C )
CHK: delay(200 200), type(tS_PT), from(DIS4d.D ), to(DIS4d.C )
MOD: delay(95 95), type(tSRi), from(DIS4e.AP ), to(DIS4e.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS4e.OUT), to(DIS4e.PAD)
MOD: delay(45 45), type(tCOi), from(DIS4e.C ), to(DIS4e.OUT)
CHK: delay(0 0), type(tSRW), from(DIS4e.AP ), to(DIS4e.AP )
CHK: delay(180 180), type(tSRR), from(DIS4e.AP ), to(DIS4e.C )
CHK: delay(0 0), type(tWLA), from(DIS4e.C ), to(DIS4e.C )
CHK: delay(0 0), type(tWHA), from(DIS4e.C ), to(DIS4e.C )
CHK: delay(200 200), type(tH), from(DIS4e.D ), to(DIS4e.C )
CHK: delay(200 200), type(tS_PT), from(DIS4e.D ), to(DIS4e.C )
MOD: delay(95 95), type(tSRi), from(DIS4f.AP ), to(DIS4f.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS4f.OUT), to(DIS4f.PAD)
MOD: delay(45 45), type(tCOi), from(DIS4f.C ), to(DIS4f.OUT)
CHK: delay(0 0), type(tSRW), from(DIS4f.AP ), to(DIS4f.AP )
CHK: delay(180 180), type(tSRR), from(DIS4f.AP ), to(DIS4f.C )
CHK: delay(0 0), type(tWLA), from(DIS4f.C ), to(DIS4f.C )
CHK: delay(0 0), type(tWHA), from(DIS4f.C ), to(DIS4f.C )
CHK: delay(200 200), type(tH), from(DIS4f.D ), to(DIS4f.C )
CHK: delay(200 200), type(tS_PT), from(DIS4f.D ), to(DIS4f.C )
MOD: delay(95 95), type(tSRi), from(DIS4g.AP ), to(DIS4g.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS4g.OUT), to(DIS4g.PAD)
MOD: delay(45 45), type(tCOi), from(DIS4g.C ), to(DIS4g.OUT)
CHK: delay(0 0), type(tSRW), from(DIS4g.AP ), to(DIS4g.AP )
CHK: delay(180 180), type(tSRR), from(DIS4g.AP ), to(DIS4g.C )
CHK: delay(0 0), type(tWLA), from(DIS4g.C ), to(DIS4g.C )
CHK: delay(0 0), type(tWHA), from(DIS4g.C ), to(DIS4g.C )
CHK: delay(200 200), type(tH), from(DIS4g.D ), to(DIS4g.C )
CHK: delay(200 200), type(tS_PT), from(DIS4g.D ), to(DIS4g.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED16.Q ), to(LED16.PAD)
MOD: delay(45 45), type(tCOi), from(LED16.C ), to(LED16.Q )
CHK: delay(0 0), type(tWLA), from(LED16.C ), to(LED16.C )
CHK: delay(0 0), type(tWHA), from(LED16.C ), to(LED16.C )
CHK: delay(200 200), type(tH), from(LED16.D ), to(LED16.C )
CHK: delay(200 200), type(tS_PT), from(LED16.D ), to(LED16.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED17.OUT), to(LED17.PAD)
MOD: delay(45 45), type(tPDi), from(LED17 ), to(LED17.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED18.OUT), to(LED18.PAD)
MOD: delay(45 45), type(tPDi), from(LED18 ), to(LED18.OUT)
MOD: delay(45 45), type(tPDi), from(osc_dis ), to(osc_dis.OUT)
MOD: delay(45 45), type(tCOi), from(timdiv1.C ), to(timdiv1.Q )
CHK: delay(0 0), type(tWLA), from(timdiv1.C ), to(timdiv1.C )
