Timer started ...
MOD: delay(95 95), type(tSRi), from(LED0.AP ), to(LED0.Q )
MOD: delay(95 95), type(tSRi), from(LED3.AP ), to(LED3.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED3.Q ), to(LED3.PAD)
MOD: delay(45 45), type(tCOi), from(LED3.C ), to(LED3.Q )
CHK: delay(0 0), type(tSRW), from(LED3.AP ), to(LED3.AP )
CHK: delay(180 180), type(tSRR), from(LED3.AP ), to(LED3.C )
CHK: delay(0 0), type(tWLA), from(LED3.C ), to(LED3.C )
CHK: delay(0 0), type(tWHA), from(LED3.C ), to(LED3.C )
CHK: delay(200 200), type(tH), from(LED3.D ), to(LED3.C )
CHK: delay(200 200), type(tS_PT), from(LED3.D ), to(LED3.C )
MOD: delay(95 95), type(tSRi), from(LED4.AP ), to(LED4.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED4.Q ), to(LED4.PAD)
MOD: delay(45 45), type(tCOi), from(LED4.C ), to(LED4.Q )
CHK: delay(0 0), type(tSRW), from(LED4.AP ), to(LED4.AP )
CHK: delay(180 180), type(tSRR), from(LED4.AP ), to(LED4.C )
CHK: delay(0 0), type(tWLA), from(LED4.C ), to(LED4.C )
CHK: delay(0 0), type(tWHA), from(LED4.C ), to(LED4.C )
CHK: delay(200 200), type(tH), from(LED4.D ), to(LED4.C )
CHK: delay(200 200), type(tS_PT), from(LED4.D ), to(LED4.C )
MOD: delay(95 95), type(tSRi), from(LED5.AP ), to(LED5.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED5.Q ), to(LED5.PAD)
MOD: delay(45 45), type(tCOi), from(LED5.C ), to(LED5.Q )
CHK: delay(0 0), type(tSRW), from(LED5.AP ), to(LED5.AP )
CHK: delay(180 180), type(tSRR), from(LED5.AP ), to(LED5.C )
CHK: delay(0 0), type(tWLA), from(LED5.C ), to(LED5.C )
CHK: delay(0 0), type(tWHA), from(LED5.C ), to(LED5.C )
CHK: delay(200 200), type(tH), from(LED5.D ), to(LED5.C )
CHK: delay(200 200), type(tS_PT), from(LED5.D ), to(LED5.C )
MOD: delay(95 95), type(tSRi), from(LED6.AP ), to(LED6.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED6.Q ), to(LED6.PAD)
MOD: delay(45 45), type(tCOi), from(LED6.C ), to(LED6.Q )
CHK: delay(0 0), type(tSRW), from(LED6.AP ), to(LED6.AP )
CHK: delay(180 180), type(tSRR), from(LED6.AP ), to(LED6.C )
CHK: delay(0 0), type(tWLA), from(LED6.C ), to(LED6.C )
CHK: delay(0 0), type(tWHA), from(LED6.C ), to(LED6.C )
CHK: delay(200 200), type(tH), from(LED6.D ), to(LED6.C )
CHK: delay(200 200), type(tS_PT), from(LED6.D ), to(LED6.C )
MOD: delay(95 95), type(tSRi), from(LED7.AP ), to(LED7.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED7.Q ), to(LED7.PAD)
MOD: delay(45 45), type(tCOi), from(LED7.C ), to(LED7.Q )
CHK: delay(0 0), type(tSRW), from(LED7.AP ), to(LED7.AP )
CHK: delay(180 180), type(tSRR), from(LED7.AP ), to(LED7.C )
CHK: delay(0 0), type(tWLA), from(LED7.C ), to(LED7.C )
CHK: delay(0 0), type(tWHA), from(LED7.C ), to(LED7.C )
CHK: delay(200 200), type(tH), from(LED7.D ), to(LED7.C )
CHK: delay(200 200), type(tS_PT), from(LED7.D ), to(LED7.C )
MOD: delay(95 95), type(tSRi), from(LED8.AP ), to(LED8.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED8.Q ), to(LED8.PAD)
MOD: delay(45 45), type(tCOi), from(LED8.C ), to(LED8.Q )
CHK: delay(0 0), type(tSRW), from(LED8.AP ), to(LED8.AP )
CHK: delay(180 180), type(tSRR), from(LED8.AP ), to(LED8.C )
CHK: delay(0 0), type(tWLA), from(LED8.C ), to(LED8.C )
CHK: delay(0 0), type(tWHA), from(LED8.C ), to(LED8.C )
CHK: delay(200 200), type(tH), from(LED8.D ), to(LED8.C )
CHK: delay(200 200), type(tS_PT), from(LED8.D ), to(LED8.C )
MOD: delay(95 95), type(tSRi), from(LED9.AP ), to(LED9.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED9.Q ), to(LED9.PAD)
MOD: delay(45 45), type(tCOi), from(LED9.C ), to(LED9.Q )
CHK: delay(0 0), type(tSRW), from(LED9.AP ), to(LED9.AP )
CHK: delay(180 180), type(tSRR), from(LED9.AP ), to(LED9.C )
CHK: delay(0 0), type(tWLA), from(LED9.C ), to(LED9.C )
CHK: delay(0 0), type(tWHA), from(LED9.C ), to(LED9.C )
CHK: delay(200 200), type(tH), from(LED9.D ), to(LED9.C )
CHK: delay(200 200), type(tS_PT), from(LED9.D ), to(LED9.C )
MOD: delay(95 95), type(tSRi), from(LED10.AP ), to(LED10.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED10.Q ), to(LED10.PAD)
MOD: delay(45 45), type(tCOi), from(LED10.C ), to(LED10.Q )
CHK: delay(0 0), type(tSRW), from(LED10.AP ), to(LED10.AP )
CHK: delay(180 180), type(tSRR), from(LED10.AP ), to(LED10.C )
CHK: delay(0 0), type(tWLA), from(LED10.C ), to(LED10.C )
CHK: delay(0 0), type(tWHA), from(LED10.C ), to(LED10.C )
CHK: delay(200 200), type(tH), from(LED10.D ), to(LED10.C )
CHK: delay(200 200), type(tS_PT), from(LED10.D ), to(LED10.C )
MOD: delay(95 95), type(tSRi), from(LED11.AP ), to(LED11.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED11.Q ), to(LED11.PAD)
MOD: delay(45 45), type(tCOi), from(LED11.C ), to(LED11.Q )
CHK: delay(0 0), type(tSRW), from(LED11.AP ), to(LED11.AP )
CHK: delay(180 180), type(tSRR), from(LED11.AP ), to(LED11.C )
CHK: delay(0 0), type(tWLA), from(LED11.C ), to(LED11.C )
CHK: delay(0 0), type(tWHA), from(LED11.C ), to(LED11.C )
CHK: delay(200 200), type(tH), from(LED11.D ), to(LED11.C )
CHK: delay(200 200), type(tS_PT), from(LED11.D ), to(LED11.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED12.OUT), to(LED12.PAD)
MOD: delay(45 45), type(tPDi), from(LED12 ), to(LED12.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED13.OUT), to(LED13.PAD)
MOD: delay(45 45), type(tPDi), from(LED13 ), to(LED13.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED14.OUT), to(LED14.PAD)
MOD: delay(45 45), type(tPDi), from(LED14 ), to(LED14.OUT)
MOD: delay(95 95), type(tSRi), from(LED15.AP ), to(LED15.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED15.Q ), to(LED15.PAD)
MOD: delay(45 45), type(tCOi), from(LED15.C ), to(LED15.Q )
CHK: delay(0 0), type(tSRW), from(LED15.AP ), to(LED15.AP )
CHK: delay(180 180), type(tSRR), from(LED15.AP ), to(LED15.C )
CHK: delay(0 0), type(tWLA), from(LED15.C ), to(LED15.C )
CHK: delay(0 0), type(tWHA), from(LED15.C ), to(LED15.C )
CHK: delay(200 200), type(tH), from(LED15.D ), to(LED15.C )
CHK: delay(200 200), type(tS_PT), from(LED15.D ), to(LED15.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS1a.OUT), to(DIS1a.PAD)
MOD: delay(45 45), type(tPDi), from(DIS1a ), to(DIS1a.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS1b.OUT), to(DIS1b.PAD)
MOD: delay(45 45), type(tPDi), from(DIS1b ), to(DIS1b.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS1c.OUT), to(DIS1c.PAD)
MOD: delay(45 45), type(tPDi), from(DIS1c ), to(DIS1c.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS1d.OUT), to(DIS1d.PAD)
MOD: delay(45 45), type(tPDi), from(DIS1d ), to(DIS1d.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS1e.OUT), to(DIS1e.PAD)
MOD: delay(45 45), type(tPDi), from(DIS1e ), to(DIS1e.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS1f.OUT), to(DIS1f.PAD)
MOD: delay(45 45), type(tPDi), from(DIS1f ), to(DIS1f.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS1g.OUT), to(DIS1g.PAD)
MOD: delay(45 45), type(tPDi), from(DIS1g ), to(DIS1g.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS2a.OUT), to(DIS2a.PAD)
MOD: delay(45 45), type(tPDi), from(DIS2a ), to(DIS2a.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS2b.OUT), to(DIS2b.PAD)
MOD: delay(45 45), type(tPDi), from(DIS2b ), to(DIS2b.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS2c.OUT), to(DIS2c.PAD)
MOD: delay(45 45), type(tPDi), from(DIS2c ), to(DIS2c.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS2d.OUT), to(DIS2d.PAD)
MOD: delay(45 45), type(tPDi), from(DIS2d ), to(DIS2d.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS2e.OUT), to(DIS2e.PAD)
MOD: delay(45 45), type(tPDi), from(DIS2e ), to(DIS2e.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS2f.OUT), to(DIS2f.PAD)
MOD: delay(45 45), type(tPDi), from(DIS2f ), to(DIS2f.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS2g.OUT), to(DIS2g.PAD)
MOD: delay(45 45), type(tPDi), from(DIS2g ), to(DIS2g.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS3a.OUT), to(DIS3a.PAD)
MOD: delay(45 45), type(tPDi), from(DIS3a ), to(DIS3a.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS3b.OUT), to(DIS3b.PAD)
MOD: delay(45 45), type(tPDi), from(DIS3b ), to(DIS3b.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS3c.OUT), to(DIS3c.PAD)
MOD: delay(45 45), type(tPDi), from(DIS3c ), to(DIS3c.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS3d.OUT), to(DIS3d.PAD)
MOD: delay(45 45), type(tPDi), from(DIS3d ), to(DIS3d.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS3e.OUT), to(DIS3e.PAD)
MOD: delay(45 45), type(tPDi), from(DIS3e ), to(DIS3e.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS3f.OUT), to(DIS3f.PAD)
MOD: delay(45 45), type(tPDi), from(DIS3f ), to(DIS3f.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS3g.OUT), to(DIS3g.PAD)
MOD: delay(45 45), type(tPDi), from(DIS3g ), to(DIS3g.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS4a.OUT), to(DIS4a.PAD)
MOD: delay(45 45), type(tPDi), from(DIS4a ), to(DIS4a.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS4b.OUT), to(DIS4b.PAD)
MOD: delay(45 45), type(tPDi), from(DIS4b ), to(DIS4b.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS4c.OUT), to(DIS4c.PAD)
MOD: delay(45 45), type(tPDi), from(DIS4c ), to(DIS4c.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS4d.OUT), to(DIS4d.PAD)
MOD: delay(45 45), type(tPDi), from(DIS4d ), to(DIS4d.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS4e.OUT), to(DIS4e.PAD)
MOD: delay(45 45), type(tPDi), from(DIS4e ), to(DIS4e.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS4f.OUT), to(DIS4f.PAD)
MOD: delay(45 45), type(tPDi), from(DIS4f ), to(DIS4f.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS4g.OUT), to(DIS4g.PAD)
MOD: delay(45 45), type(tPDi), from(DIS4g ), to(DIS4g.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED17.OUT), to(LED17.PAD)
MOD: delay(45 45), type(tPDi), from(LED17 ), to(LED17.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED18.OUT), to(LED18.PAD)
MOD: delay(45 45), type(tPDi), from(LED18 ), to(LED18.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED20.OUT), to(LED20.PAD)
MOD: delay(45 45), type(tPDi), from(LED20 ), to(LED20.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED21.OUT), to(LED21.PAD)
MOD: delay(45 45), type(tPDi), from(LED21 ), to(LED21.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED22.OUT), to(LED22.PAD)
MOD: delay(45 45), type(tPDi), from(LED22 ), to(LED22.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED23.OUT), to(LED23.PAD)
MOD: delay(45 45), type(tPDi), from(LED23 ), to(LED23.OUT)
MOD: delay(95 95), type(tSRi), from(LED24.AP ), to(LED24.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED24.Q ), to(LED24.PAD)
MOD: delay(45 45), type(tCOi), from(LED24.C ), to(LED24.Q )
CHK: delay(0 0), type(tSRW), from(LED24.AP ), to(LED24.AP )
CHK: delay(180 180), type(tSRR), from(LED24.AP ), to(LED24.C )
CHK: delay(0 0), type(tWLA), from(LED24.C ), to(LED24.C )
CHK: delay(0 0), type(tWHA), from(LED24.C ), to(LED24.C )
CHK: delay(200 200), type(tH), from(LED24.D.X2 ), to(LED24.C )
CHK: delay(200 200), type(tS_PT), from(LED24.D.X2 ), to(LED24.C )
CHK: delay(200 200), type(tH), from(LED24.D.X1 ), to(LED24.C )
CHK: delay(200 200), type(tS_PT), from(LED24.D.X1 ), to(LED24.C )
MOD: delay(95 95), type(tSRi), from(LED25.AP ), to(LED25.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED25.Q ), to(LED25.PAD)
MOD: delay(45 45), type(tCOi), from(LED25.C ), to(LED25.Q )
CHK: delay(0 0), type(tSRW), from(LED25.AP ), to(LED25.AP )
CHK: delay(180 180), type(tSRR), from(LED25.AP ), to(LED25.C )
CHK: delay(0 0), type(tWLA), from(LED25.C ), to(LED25.C )
CHK: delay(0 0), type(tWHA), from(LED25.C ), to(LED25.C )
CHK: delay(200 200), type(tH), from(LED25.D.X2 ), to(LED25.C )
CHK: delay(200 200), type(tS_PT), from(LED25.D.X2 ), to(LED25.C )
CHK: delay(200 200), type(tH), from(LED25.D.X1 ), to(LED25.C )
CHK: delay(200 200), type(tS_PT), from(LED25.D.X1 ), to(LED25.C )
MOD: delay(95 95), type(tSRi), from(LED26.AP ), to(LED26.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED26.Q ), to(LED26.PAD)
MOD: delay(45 45), type(tCOi), from(LED26.C ), to(LED26.Q )
CHK: delay(0 0), type(tSRW), from(LED26.AP ), to(LED26.AP )
CHK: delay(180 180), type(tSRR), from(LED26.AP ), to(LED26.C )
CHK: delay(0 0), type(tWLA), from(LED26.C ), to(LED26.C )
CHK: delay(0 0), type(tWHA), from(LED26.C ), to(LED26.C )
CHK: delay(200 200), type(tH), from(LED26.D.X2 ), to(LED26.C )
CHK: delay(200 200), type(tS_PT), from(LED26.D.X2 ), to(LED26.C )
CHK: delay(200 200), type(tH), from(LED26.D.X1 ), to(LED26.C )
CHK: delay(200 200), type(tS_PT), from(LED26.D.X1 ), to(LED26.C )
MOD: delay(95 95), type(tSRi), from(LED27.AP ), to(LED27.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED27.Q ), to(LED27.PAD)
MOD: delay(45 45), type(tCOi), from(LED27.C ), to(LED27.Q )
CHK: delay(0 0), type(tSRW), from(LED27.AP ), to(LED27.AP )
CHK: delay(180 180), type(tSRR), from(LED27.AP ), to(LED27.C )
CHK: delay(0 0), type(tWLA), from(LED27.C ), to(LED27.C )
CHK: delay(0 0), type(tWHA), from(LED27.C ), to(LED27.C )
CHK: delay(200 200), type(tH), from(LED27.D.X2 ), to(LED27.C )
CHK: delay(200 200), type(tS_PT), from(LED27.D.X2 ), to(LED27.C )
CHK: delay(200 200), type(tH), from(LED27.D.X1 ), to(LED27.C )
CHK: delay(200 200), type(tS_PT), from(LED27.D.X1 ), to(LED27.C )
MOD: delay(95 95), type(tSRi), from(LED28.AP ), to(LED28.OUT)
MOD: delay(95 95), type(tSRi), from(LED28.AR ), to(LED28.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED28.OUT), to(LED28.PAD)
MOD: delay(45 45), type(tCOi), from(LED28.C ), to(LED28.OUT)
CHK: delay(0 0), type(tSRW), from(LED28.AP ), to(LED28.AP )
CHK: delay(180 180), type(tSRR), from(LED28.AP ), to(LED28.C )
CHK: delay(0 0), type(tSRW), from(LED28.AR ), to(LED28.AR )
CHK: delay(180 180), type(tSRR), from(LED28.AR ), to(LED28.C )
CHK: delay(0 0), type(tWLA), from(LED28.C ), to(LED28.C )
CHK: delay(0 0), type(tWHA), from(LED28.C ), to(LED28.C )
CHK: delay(200 200), type(tH), from(LED28.D ), to(LED28.C )
CHK: delay(200 200), type(tS_PT), from(LED28.D ), to(LED28.C )
MOD: delay(95 95), type(tSRi), from(LED29.AP ), to(LED29.OUT)
MOD: delay(95 95), type(tSRi), from(LED29.AR ), to(LED29.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED29.OUT), to(LED29.PAD)
MOD: delay(45 45), type(tCOi), from(LED29.C ), to(LED29.OUT)
CHK: delay(0 0), type(tSRW), from(LED29.AP ), to(LED29.AP )
CHK: delay(180 180), type(tSRR), from(LED29.AP ), to(LED29.C )
CHK: delay(0 0), type(tSRW), from(LED29.AR ), to(LED29.AR )
CHK: delay(180 180), type(tSRR), from(LED29.AR ), to(LED29.C )
CHK: delay(0 0), type(tWLA), from(LED29.C ), to(LED29.C )
CHK: delay(0 0), type(tWHA), from(LED29.C ), to(LED29.C )
CHK: delay(200 200), type(tH), from(LED29.D ), to(LED29.C )
CHK: delay(200 200), type(tS_PT), from(LED29.D ), to(LED29.C )
MOD: delay(95 95), type(tSRi), from(LED16.AP ), to(LED16.Q )
MOD: delay(95 95), type(tSRi), from(LED16.AR ), to(LED16.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED16.Q ), to(LED16.PAD)
MOD: delay(45 45), type(tCOi), from(LED16.C ), to(LED16.Q )
CHK: delay(0 0), type(tSRW), from(LED16.AP ), to(LED16.AP )
CHK: delay(180 180), type(tSRR), from(LED16.AP ), to(LED16.C )
CHK: delay(0 0), type(tSRW), from(LED16.AR ), to(LED16.AR )
CHK: delay(180 180), type(tSRR), from(LED16.AR ), to(LED16.C )
CHK: delay(0 0), type(tWLA), from(LED16.C ), to(LED16.C )
CHK: delay(0 0), type(tWHA), from(LED16.C ), to(LED16.C )
CHK: delay(200 200), type(tH), from(LED16.D ), to(LED16.C )
CHK: delay(200 200), type(tS_PT), from(LED16.D ), to(LED16.C )
MOD: delay(95 95), type(tSRi), from(S1BC.AP ), to(S1BC.Q )
MOD: delay(95 95), type(tSRi), from(S1BC.AR ), to(S1BC.Q )
MOD: delay(45 45), type(tCOi), from(S1BC.C ), to(S1BC.Q )
CHK: delay(0 0), type(tSRW), from(S1BC.AP ), to(S1BC.AP )
CHK: delay(180 180), type(tSRR), from(S1BC.AP ), to(S1BC.C )
CHK: delay(0 0), type(tSRW), from(S1BC.AR ), to(S1BC.AR )
CHK: delay(180 180), type(tSRR), from(S1BC.AR ), to(S1BC.C )
CHK: delay(0 0), type(tWLA), from(S1BC.C ), to(S1BC.C )
CHK: delay(0 0), type(tWHA), from(S1BC.C ), to(S1BC.C )
CHK: delay(200 200), type(tH), from(S1BC.D ), to(S1BC.C )
CHK: delay(200 200), type(tS_PT), from(S1BC.D ), to(S1BC.C )
MOD: delay(95 95), type(tSRi), from(S2BC.AP ), to(S2BC.Q )
MOD: delay(95 95), type(tSRi), from(S2BC.AR ), to(S2BC.Q )
MOD: delay(45 45), type(tCOi), from(S2BC.C ), to(S2BC.Q )
CHK: delay(0 0), type(tSRW), from(S2BC.AP ), to(S2BC.AP )
CHK: delay(180 180), type(tSRR), from(S2BC.AP ), to(S2BC.C )
CHK: delay(0 0), type(tSRW), from(S2BC.AR ), to(S2BC.AR )
CHK: delay(180 180), type(tSRR), from(S2BC.AR ), to(S2BC.C )
CHK: delay(0 0), type(tWLA), from(S2BC.C ), to(S2BC.C )
CHK: delay(0 0), type(tWHA), from(S2BC.C ), to(S2BC.C )
CHK: delay(200 200), type(tH), from(S2BC.D ), to(S2BC.C )
CHK: delay(200 200), type(tS_PT), from(S2BC.D ), to(S2BC.C )
MOD: delay(45 45), type(tCOi), from(m0q6.C ), to(m0q6.Q )
CHK: delay(0 0), type(tWLA), from(m0q6.C ), to(m0q6.C )
CHK: delay(0 0), type(tWHA), from(m0q6.C ), to(m0q6.C )
CHK: delay(200 200), type(tHT), from(m0q6.T ), to(m0q6.C )
CHK: delay(220 220), type(tST_PT), from(m0q6.T ), to(m0q6.C )
MOD: delay(45 45), type(tCOi), from(m0q5.C ), to(m0q5.Q )
CHK: delay(0 0), type(tWLA), from(m0q5.C ), to(m0q5.C )
CHK: delay(0 0), type(tWHA), from(m0q5.C ), to(m0q5.C )
CHK: delay(200 200), type(tHT), from(m0q5.T ), to(m0q5.C )
CHK: delay(220 220), type(tST_PT), from(m0q5.T ), to(m0q5.C )
MOD: delay(45 45), type(tCOi), from(m0q4.C ), to(m0q4.Q )
CHK: delay(0 0), type(tWLA), from(m0q4.C ), to(m0q4.C )
CHK: delay(0 0), type(tWHA), from(m0q4.C ), to(m0q4.C )
CHK: delay(200 200), type(tHT), from(m0q4.T ), to(m0q4.C )
CHK: delay(220 220), type(tST_PT), from(m0q4.T ), to(m0q4.C )
MOD: delay(45 45), type(tCOi), from(m0q3.C ), to(m0q3.Q )
CHK: delay(0 0), type(tWLA), from(m0q3.C ), to(m0q3.C )
CHK: delay(0 0), type(tWHA), from(m0q3.C ), to(m0q3.C )
CHK: delay(200 200), type(tHT), from(m0q3.T ), to(m0q3.C )
CHK: delay(220 220), type(tST_PT), from(m0q3.T ), to(m0q3.C )
MOD: delay(45 45), type(tCOi), from(m0q2.C ), to(m0q2.Q )
CHK: delay(0 0), type(tWLA), from(m0q2.C ), to(m0q2.C )
CHK: delay(0 0), type(tWHA), from(m0q2.C ), to(m0q2.C )
CHK: delay(200 200), type(tHT), from(m0q2.T ), to(m0q2.C )
CHK: delay(220 220), type(tST_PT), from(m0q2.T ), to(m0q2.C )
MOD: delay(45 45), type(tCOi), from(m0q1.C ), to(m0q1.Q )
CHK: delay(0 0), type(tWLA), from(m0q1.C ), to(m0q1.C )
CHK: delay(0 0), type(tWHA), from(m0q1.C ), to(m0q1.C )
CHK: delay(200 200), type(tHT), from(m0q1.T ), to(m0q1.C )
CHK: delay(220 220), type(tST_PT), from(m0q1.T ), to(m0q1.C )
MOD: delay(45 45), type(tCOi), from(m0q0.C ), to(m0q0.Q )
CHK: delay(0 0), type(tWLA), from(m0q0.C ), to(m0q0.C )
CHK: delay(0 0), type(tWHA), from(m0q0.C ), to(m0q0.C )
CHK: delay(200 200), type(tHT), from(m0q0.T ), to(m0q0.C )
CHK: delay(220 220), type(tST_PT), from(m0q0.T ), to(m0q0.C )
MOD: delay(45 45), type(tCOi), from(m1q6.C ), to(m1q6.Q )
CHK: delay(0 0), type(tWLA), from(m1q6.C ), to(m1q6.C )
CHK: delay(0 0), type(tWHA), from(m1q6.C ), to(m1q6.C )
CHK: delay(200 200), type(tHT), from(m1q6.T ), to(m1q6.C )
CHK: delay(220 220), type(tST_PT), from(m1q6.T ), to(m1q6.C )
MOD: delay(45 45), type(tCOi), from(m1q5.C ), to(m1q5.Q )
CHK: delay(0 0), type(tWLA), from(m1q5.C ), to(m1q5.C )
CHK: delay(0 0), type(tWHA), from(m1q5.C ), to(m1q5.C )
CHK: delay(200 200), type(tHT), from(m1q5.T ), to(m1q5.C )
CHK: delay(220 220), type(tST_PT), from(m1q5.T ), to(m1q5.C )
